Row number	Mongo ID	Author	Topic	Stance	Intended Fallacy	Voted Fallacy	Number of Votes	Text
16	9d169596c2125883	5d42d3e68e9cf039	Es wird zu wenig gegen den Klimawandel unternommen.	contra	Ad Hominem	-	0	Quatsch, wer den bullshit vom klimawandel glaubt, der hat sie nicht mehr alle!
17	28849e223eba3738	f26f699a328df918	Der Verfassungsschutz sollte abgeschafft werden.	pro	Ad Hominem	-	0	Sie sind doch gar nicht informiert genug, um die Probleme des Verfassungsschutzes erkennen zu können.
18	7427e51f6a59a9f5	41bd19b68a4eca9b	Doping im Sport sollte legalisiert werden.	contra	No Fallacy	-	2	Wenn Doping legalisiert würde, würden Sportler sich gezwungen sehen zu Dopen um mit den anderen mit zu halten. Dadurch würden viel mehr Sportler die gesundheitschädlichen Stoffe nehmen und mehr Sportler würden Nierenversagen haben.
19	356cd5b45a3197e5	9508224846415f19	Man sollte militärisch gegen den IS vorgehen.	contra	Ad Hominem	Ad Hominem	3	Ihnen fällt wirklich nie etwas besseres ein, als Waffengewalt zu gebrauchen.
20	a2456e348030aba2	3d18c43a1ce4e73b	Doping im Sport sollte legalisiert werden.	contra	No Fallacy	-	1	Sport ist körperlicher Wettkampf, Doping versetzt den Wettkampf auf eine andere Ebene.
21	3b5100448c05948a	f26f699a328df918	In der Schule sollte es keine Noten geben.	contra	No Fallacy	-	0	Noten sind wichtig, um die Leistungen von Kindern untereinander vergleichen zu können.
22	056a03885e5ef20c	2e6d3f287bb1f0dd	Deutsche Städte sollten sich für die Ausrichtung von Olympischen Spielen bewerben.	contra	Irrelevant Authority	Hasty Generalization	4	Nachdem die Griechen die Olympischen Spiele erfunden haben, sollten sie sie auch jetzt durchführen
23	5e3b3d2232c325bd	f2052cc7ad3b95c4	Es ist gut, dass klassische Musik mit Steuergeld gefördert wird.	pro	No Fallacy	-	1	Klassische Musik ist ein kulturelles Allgemeingut, das förderwürdig ist und der Gemeinschaft Nutzen bringt.
24	8b139ccaec240ba5	c4a478a9596bc6c9	Der Euro sollte abgeschafft werden.	contra	Ad Hominem	-	0	Wenn Sie gegen den Euro sind, dann sind Sie auch gegen Europa, gegen Weltoffenheit und Freiheit, kurz gesagt, sie sind ein Populist!
25	fa7e6f45cb4bb2c8	0dd986807006e662	In der Schule sollte es keine Noten geben.	pro	Hasty Generalization	Hasty Generalization	4	Meine Enkel hätten es ohne Noten leichter gehabt, ihre wahren Talente zu entfalten. So mussten sie dauernd Defizite aufarbeiten und konnten nicht an ihren Stärken arbeiten.
26	1f5eecc828a10e53	e412b55d2ce36286	Öffentliche Verkehrsmittel sollten kostenlos sein.	pro	Appeal to Emotion	-	0	Der Staat raubt uns durch Steuern jährlich schon so viel, da kann er uns ruhig etwas zurückgeben!
27	c307917df5f4bfb6	9d130e8c9dad679c	Deutschland sollte ein Bedingungsloses Grundeinkommen einführen.	contra	Red Herring	-	0	Und was machen wir dann? Dann sitzen alle faul auf dem Sofa und schauen in die Röhre - Unser ungerechtes Bildungssystem, den Klimawandel oder die weltpolitischen Probleme löst das auch nicht.
28	ac956e59c4c41dbf	3fbe317602bd932c	Es ist gut, dass klassische Musik mit Steuergeld gefördert wird.	pro	Hasty Generalization	-	2	Filme werden ja auch vom Staat gefördert.
29	c4e8ac6fdd80e4bb	f279461004a6c01d	Ausländer sollten an Kommunalwahlen teilnehmen dürfen.	pro	No Fallacy	-	2	In einer Kommune wirken sich die Entscheidungen, die die gewählten Vertreter fällen, auf alle Einwohner aus, egal welchen Pass sie haben. Also sollten auch alle darüber mit entscheiden dürfen, wer diese Vertreter sein sollen.
30	1ccd177910cd8a89	bd3bd4c818303499	Homosexuelle Paare sollten Kinder adoptieren dürfen.	contra	Irrelevant Authority	-	0	Wir sollten auf den Papst hören und das lieber erst einmal sein lassen.
31	0f238668e6eb9f81	3b3b8195fec2079b	Homosexuelle Paare sollten Kinder adoptieren dürfen.	contra	Irrelevant Authority	-	2	Die katholische Kirche ist dagegen und das finde ich richtig.
32	d9f0c8361cd3b8a7	2878661e8c1a9089	Es sollte eine Steuer auf Plastikverpackungen eingeführt werden.	pro	No Fallacy	-	2	Plastikmüll ist ein ernsthaftes Umweltproblem. Alle anderen Versuche, den Müll zu reduzieren, sind gescheitert.
33	ebed54a4bacbf3e8	5b9c7951c55523c9	Der Verfassungsschutz sollte abgeschafft werden.	contra	Ad Hominem	Ad Hominem	16	Wenn Sie gegen den Verfassungsschutz sind, sind Sie gegen die Demokratie...
34	453fb3d5e1ce8337	ce49314dcc711a8e	Die Wehrpflicht sollte wieder eingeführt werden.	contra	Ad Hominem	-	1	Sie sind ein Bellizist, ein Kriegstreiber!
35	28ef6e0b29ac2644	ce66d855a615a8d3	Es sollte eine Steuer auf Plastikverpackungen eingeführt werden.	pro	Irrelevant Authority	Irrelevant Authority	6	Der Papst hat auch neulich gesagt, dass er die massive Umweltverschmutzung für ein Problem hält.
36	d9ec12531ba35370	f46eb8d85fc9d7c1	Ausländer sollten an Kommunalwahlen teilnehmen dürfen.	contra	Irrelevant Authority	-	0	Mein Nachbar sagt, die gehen sowieso nicht hin, weil sie die Sprache nicht verstehen.
37	b6a701412d918400	b2ac01e802d71d22	Der Konsum von Cannabis sollte legalisiert werden.	contra	Irrelevant Authority	Irrelevant Authority	3	Der Schriftsteller Michel Houellebecq würde genau das Gegenteil behaupten. Wir sind eine Lustgesellschaft geworden, die ihre Erfolglosigkeit bei der Sinnsuche in kurzfristigen Rauscherlebnissen erstickt.
38	cbe52f340903e2ba	6903a9fc3aca049e	An Universitäten sollte keine Forschung zu militärischen Zwecken durchgeführt werden.	contra	No Fallacy	-	0	Forschungen an den Universitäten sollten in erster Linie der Wissenschaft und der Wissensschaffung dienen. Auch ein militärischer Zweck kann ebenso diesem Ziel folgen.
39	4f3b71f032fed754	5d42d3e68e9cf039	Man lebt besser, wenn man vegan lebt.	contra	Appeal to Emotion	-	0	Veganes essen schmeckt aber nicht!
40	eb523a3bec5a7638	b2ac01e802d71d22	Kinder sollten früh mit Computern und Smartphones umgehen lernen.	contra	No Fallacy	-	2	Es ist wichtiger, erst einmal analog lesen, schreiben, rechnen und denken zu lernen. Dann kann man die digitale Technik auch richtig nutzen.
41	f1ac2443076450f0	8ab9d6b227ec171c	In der Schule sollte es keine Noten geben.	pro	No Fallacy	-	0	In einer Gesellschaft mit hohem Bildugsniveau ist eine Differenzierung durch Noten nicht mehr notwendig.
42	f2f04aedf53ec3d2	9d130e8c9dad679c	Deutsche Städte sollten sich für die Ausrichtung von Olympischen Spielen bewerben.	pro	Ad Hominem	Ad Hominem	11	Derart zu verallgemeinern und gleichzeitig Angst vor Naturzerstörung auslösen zu wollen, das kann nur jemand, der sich mit der Materie absolut nicht auskennt. Woher wollen denn ausgerechnet Sie die Motive der Funktionäre und die Folgen für die Umwelt absehen?
43	27d6c4ecf7d0d5f9	2e6d3f287bb1f0dd	Homosexuelle Paare sollten Kinder adoptieren dürfen.	contra	Irrelevant Authority	-	2	Die Kirche findet homosexuelle Paare nicht befähigt, Kinder aufzuziehen
44	20a2c1103df11b16	ab9fc93fa0ee149b	Kinder sollten früh mit Computern und Smartphones umgehen lernen.	pro	No Fallacy	No Fallacy	10	Je früher Kinder lernen mit Computern und Smartphones umzugehen, desto eher lernen sie den Gefahren, die im Netz und durch die neue Technik drohen, auszuweichen.
45	ecafbc27bb3b0f37	f26f699a328df918	Man lebt besser, wenn man vegan lebt.	pro	Ad Hominem	-	0	Wer Fleisch ist, wird noch so dick, wie Sie es sind. Das ist viel zu fettig und ungesund.
46	34170a8f0d351a55	7d1d361060d43e06	Der Verfassungsschutz sollte abgeschafft werden.	contra	No Fallacy	-	2	Der Verfassungsschutz stellt sicher, dass niemand mit dem Gesetz Schindluder betreibt. Somit ist er als Institution unerlässlich. Wir können gerne über eine Änderung reden, da nicht alle Bereiche dieses großen Apparates optimal zusammenarbeiten, aber eine Abschaffung steht für mich nicht zur Debatte.
47	977be1c61a1f511b	ed782653bfec275c	Gentechnik ist etwas Gutes.	contra	Ad Hominem	-	1	Ach geh nach Hause Pollie.
48	5958465de6675718	0dd986807006e662	An Universitäten sollte keine Forschung zu militärischen Zwecken durchgeführt werden.	pro	No Fallacy	Irrelevant Authority	6	Horst Schlemmer muss es ja wissen, und die militärische Oberhand haben wir nicht und das ist auch angesichts unserer Geschichte ganz gut so.
49	ea591a1bf1953767	2878661e8c1a9089	Es wird zu wenig gegen den Klimawandel unternommen.	contra	Ad Hominem	-	2	Sie sind wahrscheinlich einer von diesen Experten, die in den 80ern das Waldsterben vorhergesagt hatten. Lassen Sie es einfach gut sein!
50	32edbdae2c755c6f	da1aead81f9ce0d4	Öffentliche Verkehrsmittel sollten kostenlos sein.	contra	Ad Hominem	-	1	Wer soll denn die öffentlichen Verkehrsmittel bezahlen.
51	28d2b827f18ef3a7	3b3b8195fec2079b	Geschäfte sollten jeden Tag rund um die Uhr geöffnet sein.	pro	Appeal to Emotion	-	1	Wir wollen doch dynamische und lebendige Städte und keine Friedhöfe.
52	b3045d3dfbfbdb00	b2ac01e802d71d22	In der Schule sollte es keine Noten geben.	pro	Red Herring	Red Herring	3	Wir haben in der Moderne verlernt, Dinge anders als mit Zahlen zu beurteilen. Das ist einfach ein völliger Irrweg, das sieht man zum Beispiel auch in der Finanzkrise.
53	ae50da35b926ee9a	215182f57d2aed71	Die Türkei sollte in die EU aufgenommen werden.	contra	Red Herring	-	1	Die passen doch gar nicht zu Europa! Die Osmanen sind damals ja auch nur bis Wien gekommen.
54	8201773c876cdca4	c4a478a9596bc6c9	Man sollte schon ab 16 Jahren wählen dürfen.	contra	No Fallacy	-	1	Mit 16 ist man noch in der Pubertät. Politische Entscheidungen trifft man besser mit klarerem Kopf.
55	7360ed73aa7bb1a3	9d130e8c9dad679c	Kinder sollten früh mit Computern und Smartphones umgehen lernen.	contra	Ad Hominem	-	0	Eine Meinung, die nur jemand vertreten kann, der sich mit frühkindlicher Entwicklung nicht auskennt. Dieses elementare Nicht-Wissen disqualifiziert hinsichtlich jeglicher Diskussionsteilhabe - zumindest in der realen Welt.
56	18944b278fd6e289	d8872b7b86484a05	Geschäfte sollten jeden Tag rund um die Uhr geöffnet sein.	pro	Ad Hominem	-	0	Sie wollen wirklich, dass Geschäfte um 18 Uhr schon Schluss machen? Sie sind halt einfach ein Landei!
57	d3f978940107e856	ce49314dcc711a8e	Die Agenda 2010 war gut für Deutschland.	pro	Ad Hominem	-	1	Sie sind ein vorsätzlicher Lügner, weil Sie die Situation ständig schlimmer darstellen, als sie ist. Deutschland geht es gut.
58	f6ea44c342a6f15e	5367c54bc897a8ac	Die Wehrpflicht sollte wieder eingeführt werden.	contra	Red Herring	-	0	Es ist richtig dass die Bundeswehr jede Menge Geld sparen würde, aber die Kosten für die NATO-Beteiligung übersteigt die Personalkosten jedes Jahr um ein Vielfaches.
59	09b320e343ff294d	ff8d2bfe644cb427	Man sollte schon ab 16 Jahren wählen dürfen.	contra	Appeal to Emotion	-	1	Die Jugend von heute sitzt doch nur noch vor dem Bildschirm und weiß nichts von der realen Welt. Und dann sollen die wählen dürfen?
60	5f4a1d30e018c5ba	d8872b7b86484a05	Es sollte eine Steuer auf Plastikverpackungen eingeführt werden.	contra	Irrelevant Authority	-	2	Donald Trump sagt, Wirtschaftswachstum ist wichtiger als die Umwelt.
61	c3f814b68d69bfbb	572274d0c1d0db7e	Es sollte eine Steuer auf Plastikverpackungen eingeführt werden.	contra	Ad Hominem	-	1	Würdest du mal an andere Menschen denken so wie du an deine scheiß Umwelt denkst, wäre alles besser. Nur weil du das Geld hast, hat das nicht gleich jeder!
62	d865436abf38fb16	ce66d855a615a8d3	Geschäfte sollten jeden Tag rund um die Uhr geöffnet sein.	contra	No Fallacy	No Fallacy	5	Aber wollen die Leute denn wirklich Arbeit mitten in der Nacht? Das kann ich mir nicht vorstellen.
63	3ce4b6bbe3104ff8	3b3b8195fec2079b	Der Konsum von Cannabis sollte legalisiert werden.	pro	Red Herring	Red Herring	3	Ich finde, dass unsere Gesellschaft generell so verklemmt ist und so feindlich gegenüber allem, was Spaß macht.
64	5e355d97081e3fe9	f26f699a328df918	Doping im Sport sollte legalisiert werden.	contra	Ad Hominem	-	0	Doping gehört zu einem fairen Sportkampf nicht dazu. Das Sie keine Ahnung von Sport haben, sieht man ja sofort...
65	b3f3016653e28db2	a70957ad03feacd2	Ausländer sollten an Kommunalwahlen teilnehmen dürfen.	contra	Ad Hominem	-	1	Ja und auf unseren Kosten auch noch leben.
66	e67198ae40d48102	572274d0c1d0db7e	An Universitäten sollte keine Forschung zu militärischen Zwecken durchgeführt werden.	pro	Hasty Generalization	-	0	Universitäten sollten Forschen um die Menschheit weiter zu bringen. Militärische Forschungen führen zu Krieg und Gewalt.
67	4f34dd1b839f4281	99612762c618e24e	Homosexuelle Paare sollten Kinder adoptieren dürfen.	contra	Irrelevant Authority	Irrelevant Authority	7	Der Papst hat sich dagegen ausgesprochen.
68	3ce63f6e22da6ef5	ce49314dcc711a8e	Deutsche Städte sollten sich für die Ausrichtung von Olympischen Spielen bewerben.	contra	Appeal to Emotion	Appeal to Emotion	8	Wir können zweifelsohne Olympische Spiele ausrichten, aber wollen wir es auch? Die Menschen wollen nicht, dass die schöne Natur um sie herum zerstört wird, nur damit ein paar geldgierige und aufmerksamkeitssüchtige Funktionäre sich selbst verwirklichen können!
69	8ed6139f755b156a	f26f699a328df918	Es ist gut, dass Deutschland viele Flüchtlinge aufgenommen hat.	pro	Ad Hominem	-	1	Das stimmt. Jeder, der etwas anderes denkt, ist ein Rassist.
70	c791c2e7076d6644	2d44ce4593a06063	Man sollte militärisch gegen den IS vorgehen.	contra	Appeal to Emotion	-	1	Dann gibt es nur wieder Leichenberge und das Problem wird doch nicht gelöst.
71	4634dbf6279213c1	db11b888ef3b4a1a	Die Türkei sollte in die EU aufgenommen werden.	contra	Irrelevant Authority	Irrelevant Authority	17	Donald Trump warnt davor, und er hat vollkommen Recht.
72	39f539dd2c4b4f58	9d130e8c9dad679c	Kriminelle Ausländer sollten sofort abgeschoben werden.	contra	Ad Hominem	Ad Hominem	9	Dein Vorwissen reicht doch gar nicht aus, um das zu beurteilen!
73	6e9a13579ed0bd93	ce49314dcc711a8e	Kriminelle Ausländer sollten sofort abgeschoben werden.	pro	Hasty Generalization	Hasty Generalization	8	Hätten wir den Amri gleich rausgeschmissen, dann wäre der Terroranschlag in Berlin nicht passiert.
74	2bb384fe870e5916	82d1dc22b70143d6	Man lebt besser, wenn man vegan lebt.	pro	Irrelevant Authority	-	0	Mein Bruder ist auch der Meinung, vegane Ernährung senkt den Blutzucker.
75	f14322c321224ecc	9d130e8c9dad679c	Doping im Sport sollte legalisiert werden.	pro	Irrelevant Authority	-	0	Richard David Precht, führender Experte in allen moralischen Fragen betreffend Mensch, Tier, Baum & Stein, ist für eine Legalisierung des Dopings. Seine Expertise auf dem Gebiet der Ernährung und Stoffwechselprozesse ist ausgezeichnet; Fragen Sie ihn mal nach der Intelligenz eines Tintenfischs. Sie werden Augen machen, was die schon ungedoped alles hinkriegen....wenn man da jetzt noch nachhilft, dann schreiben die vielleicht sogar philosophische Bücher!
76	29c8a19d506b5b9b	6c65df5daadd4379	Es ist gut, dass Deutschland viele Flüchtlinge aufgenommen hat.	contra	Irrelevant Authority	-	0	Mein Nachbar sagt seit Deutschland Flüchtlinge aufgenommen hat, steigt die Kriminalität in unserer Stadt
77	f1f69fd05337cfd7	ce49314dcc711a8e	Es wird zu wenig gegen den Klimawandel unternommen.	contra	Irrelevant Authority	-	2	Die aktuelle amerikanische Regierung ist der Meinung, dass zu viel unternommen wird.
78	efac4551272c3b37	87695e7b878d79a1	Man sollte militärisch gegen den IS vorgehen.	contra	Irrelevant Authority	-	2	Nein, denn dabei würden auch viele Unbeteiligte Menschen in Gefahr gebracht werden.
79	2191a7e7302ff8b7	9e13f6cdfc2488e6	Es ist gut, dass Deutschland viele Flüchtlinge aufgenommen hat.	pro	No Fallacy	-	2	Wir haben als wohlhabendes Land, das auch von der Situation in ärmeren Ländern profitiert, eine moralische Verantwortung, mitzuhelfen.
80	2a0c7bd584d594fd	a265184afe74fcc7	Kriminelle Ausländer sollten sofort abgeschoben werden.	pro	Ad Hominem	-	2	Diese Personengruppe würde sich sowieso nicht bein uns integrieren.
81	a55534f37e46b6b9	0dd986807006e662	Die Wehrpflicht sollte wieder eingeführt werden.	pro	Appeal to Emotion	-	0	Die Russen versuchen schon die ganze Zeit, ihre Einflusssphäre auszudehnen. Irgendwann werden sie uns angreifen. Wir müssen darauf vorbereitet sein, unsere Frauen und Kinder zu beschützen!
82	80c7ff812384c81a	f26f699a328df918	Der Euro sollte abgeschafft werden.	pro	Appeal to Emotion	-	0	Der Euro muss weg! Früher mit der Mark war alles noch gut.
83	74e1400e9418fc02	f26f699a328df918	Es sollte an staatlichen Schulen keinen Religionsunterricht geben.	contra	No Fallacy	-	0	Religion ist ein wichtiger Teil unserer Kultur und hat einen großen Einfluss auf unsere bestehenden moralischen Regeln gehabt. Außerdem sollte jedes Kind die Möglichkeit haben, den Glauben kennenzulernen, um sich dann selber entscheiden zu können, ob es daran festhalten möchte oder nicht.
84	704530d0cb182655	7d1d361060d43e06	Es sollte mehr Videoüberwachung im öffentlichen Raum geben.	contra	No Fallacy	-	0	Wir haben bereits ein gutes Überwachungssystem, das Geld sollte besser in die Ausbildung von Polizisten investiert werden, damit wir es auch nutzen können.
85	5f0adef8af419faa	9345a0b40cf84b59	Öffentliche Verkehrsmittel sollten kostenlos sein.	pro	Appeal to Emotion	-	0	Damit alle mobil sein können
86	c5361ed076f2a179	a265184afe74fcc7	Die Agenda 2010 war gut für Deutschland.	contra	No Fallacy	-	0	Wesentliche Veränderungen sind nicht eingetreten.
87	810a089b1e0be394	9d130e8c9dad679c	Es ist gut, dass Deutschland viele Flüchtlinge aufgenommen hat.	contra	Irrelevant Authority	-	1	Viele prominente, etwas Mario Barth, sind gegen die Aufnahme vieler Flüchtlinge. Auf die sollten wir hören!
88	1e7080328c68ada3	17ec11a26b1f5a14	Es sollte mehr Videoüberwachung im öffentlichen Raum geben.	pro	No Fallacy	-	1	Mehr Überwachung hat schon immer das Beste im Menschen befördert.
89	03baceb8716411d5	f26f699a328df918	Der Konsum von Cannabis sollte legalisiert werden.	contra	Ad Hominem	-	0	Damit wir auch solche Drogenabhängige werden, wie Sie es wahrscheinlich sind? Nein danke!
90	e2420288d5f6f7c1	7d1d361060d43e06	Man sollte militärisch gegen den IS vorgehen.	pro	Red Herring	-	1	Dem ist völlig zuzustimmen. Die humanitären Hilfestellungen, die wir bis jetzt zur Verfügung gestellt haben, müssen dringendst intensiviert werden!
91	59713319de4770e8	7d1d361060d43e06	Man sollte schon ab 16 Jahren wählen dürfen.	contra	Ad Hominem	-	0	Das kann wohl nur von einem 16-Jährigen kommen.
92	651f87aaf391a9dd	0aab6d9e7156c93a	Gentechnik ist etwas Gutes.	contra	No Fallacy	-	2	Die gesundheitlichen Folgen von Gentechnik sind noch nicht ausreichend erforscht.
93	b5b21c670ffd0af9	7d1d361060d43e06	Es sollte eine Steuer auf Plastikverpackungen eingeführt werden.	pro	Irrelevant Authority	-	0	Dank meiner Mutter weiß ich, wie schädlich solche Verpackungen für die Umwelt sind. Daher sollten sie verboten werden.
94	b7c61a35ab401221	d8872b7b86484a05	Deutsche Städte sollten sich für die Ausrichtung von Olympischen Spielen bewerben.	pro	Ad Hominem	-	0	Man sieht Ihnen schon von Weitem an, dass Sie mit Sport generell nicht viel anfangen können.
95	23790037caded1ca	74c74d7c7247a7dc	Es wird zu wenig gegen den Klimawandel unternommen.	pro	Red Herring	-	1	Der Klimawandel ist ein relevantes, weltweites Problem. In den USA zB fahren viel zu viele Menschen Auto und verpesten so die Luft. Außerdem fördern die Amerikaner durch den Massenkonsum das Ozon-Loch.
96	5ce265fec6575269	3b3b8195fec2079b	Gentechnik ist etwas Gutes.	pro	No Fallacy	-	0	Gentechnik ist letztendlich eine Technologie wie jede andere auch.
97	8c1a76374ab3276b	b2ac01e802d71d22	Der Verfassungsschutz sollte abgeschafft werden.	contra	No Fallacy	-	1	Deutschland ist eine wehrhafte Demokratie und die Institution des Verfassungsschutzes unterstreicht das. Es ist wichtig, gesellschaftliche Bewegungen zu analysieren, die demokratiegefährdend sind oder sein könnten.
98	c205686c4addc9fa	c2d910ff7a6dd1e8	Man sollte schon ab 16 Jahren wählen dürfen.	pro	No Fallacy	-	0	Dadurch würden diejenigen mehr Mitspracherecht bekommen, die auch länger von Wahlentscheidungen betroffen sind.
99	6688c774d1a4d638	f26f699a328df918	Es wird zu wenig gegen den Klimawandel unternommen.	pro	No Fallacy	-	1	Die meisten Menschen nutzen Kraftfahrzeuge, auch wenn sie eigentlich öffentliche Verkehrsmittel benutzen könnten. Plastiktüten werden bei Einkäufen ständig genutzt und der Städtebau führt dazu, dass immer mehr von der Natur zerstört wird, was dem Klima ebenfalls schaden. Also ja, es wird zu wenig unternommen.
100	2ffdeaa1b0ee89f2	6903a9fc3aca049e	Kinder sollten früh mit Computern und Smartphones umgehen lernen.	pro	Irrelevant Authority	-	2	Ich habe durch viel Medienumgang eine ausreichende Kompetenz erlangt und kann dadurch mit der heutigen Zeit mithalten.
101	eed38745615d4a19	b2ac01e802d71d22	Kinder sollten früh mit Computern und Smartphones umgehen lernen.	contra	Irrelevant Authority	-	2	Manfred Spitzer schreibt in seinem neuen Buch, dass Bildschirme nicht gut sind für Kinder.
102	b3b8990f2dfa2739	99612762c618e24e	Homosexuelle Paare sollten Kinder adoptieren dürfen.	pro	No Fallacy	No Fallacy	3	Es zu verbieten verstieße gegen das Prinzip der Gleichbehandlung.
103	354032df3271856c	2d44ce4593a06063	Die Türkei sollte in die EU aufgenommen werden.	contra	Appeal to Emotion	-	0	Europa ist eine Wertegemeinschaft und die Türkei stellt sich mit ihrem Erdogan ständig außerhalb dieser Wertegemeinschaft, also wollen sie wohl gar nicht dazugehören...
104	17eb9d3407722250	6d16618ba74fa632	Die Wehrpflicht sollte wieder eingeführt werden.	contra	No Fallacy	-	1	Wehrpflicht ist nichts für Europa
105	e2233339f7f4ad7f	ce49314dcc711a8e	Deutsche Städte sollten sich für die Ausrichtung von Olympischen Spielen bewerben.	contra	Irrelevant Authority	Irrelevant Authority	8	Die Bauern in Garmisch sagen das, und die müssen es wissen, die haben täglich mit der Natur zu tun.
106	122588f49ad7bd86	9508224846415f19	Öffentliche Verkehrsmittel sollten kostenlos sein.	pro	Ad Hominem	-	2	Warum sind Sie dagegen? Mit ein bisschen Geld könnte man so viel Gutes bewirken. Sie sind so ein Geizhals!
107	e376116133f34090	7d1d361060d43e06	In der Schule sollte es keine Noten geben.	pro	Red Herring	-	0	Natürlich nicht. In der Arbeitswelt zählt nur ob das Produkt am Ende fertig ist und von guter Qualität ist, Abstufungen gibt es da nicht.
108	b0dd5d0c7b61da9a	7d1d361060d43e06	Der Euro sollte abgeschafft werden.	contra	No Fallacy	-	0	Der Euro als gemeinsame Währungsgrundlage erlaubt freieren Handel über ganz Europa hinweg. Keine Probleme mit Geldwechselgebühren, bessere Stabilisierung der Währung sind nur einige der Gründe.
