Row number	Mongo ID	Author	Topic	Stance	Intended Fallacy	Voted Fallacy	Number of Votes	Text
23	fddfb7a9e0f998f2	10b00c895c4783fc	Should cellphones be used during class?	contra	Irrelevant Authority	-	2	That has nothing to do with this argument and you know it!
24	b6ed1dacc998e5e9	8451f9089b5797e2	Is it effective to censor parts of the media?	pro	Red Herring	Red Herring	3	It is effective to censor parts of the media, because you never know who is watching.
25	0f583a82404b3193	94e53ef4660673f7	Should jobs be subcontracted into developing countries?	contra	Appeal to Emotion	-	1	but it gives less power to employees and the recruiting quality decreases
26	518840d04b09c6f7	1ccbbde6ecf8eb57	Is tupac the most influential rapper in history?	contra	Ad Hominem	Red Herring	3	he was a big influence
27	a7587ed0542272ea	dc0311de52b826b2	The greek exit from the EU is a necessary step.	pro	Irrelevant Authority	Ad Hominem	4	We are not going to "reconsider the rules" just to save one foul egg in the basket. I assure you that the Greeks are not worthy of this much effort and I am not going to waste my time arguing about such an irrelevant and obviously absurd suggestion.
28	9d680acfb4cf2d63	cc1eee636691c425	Should animals have special rights?	contra	Red Herring	-	2	Why don't we let them be our mayors then once they will be granted rights?
29	eca89e09f7d6c200	d87e1db64a396e0e	Has anyone been on the moon?	contra	Irrelevant Authority	Irrelevant Authority	8	No, i saw a video from a guy on youtube. Therein he presents, that the landing is completely faked. The state seems to have organized this in order to beat the russians.
30	4e8f21ec1eb1939d	12e0b91a8ac131ea	Is it justified to develop nuclear energy for commercial use?	contra	Irrelevant Authority	-	1	Me either, its bad for the earth and everyone else
31	8ff5422a2e8d477a	cc1eee636691c425	Is there a good reason for the American war on terror?	contra	Hasty Generalization	Hasty Generalization	8	If you fight once you will never stop fighting. Never start!
32	26b005e8e990aeb1	e543d26851b20a04	Should gorillas be held in zoos	contra	Hasty Generalization	-	1	Because gorillas may make people frightened and all the children are very afraid of gorillas
33	edf290b098960244	4991124a65f43eb5	Do school uniforms make school a more effective place to learn?	pro	No Fallacy	No Fallacy	3	Yes, they do make schools more effective.
34	b148f15d01d82d08	c9245e9b4cb98c28	Should we allow animal testing for medical purposes?	pro	No Fallacy	-	0	better testing new medical products on animals than on humans
35	77aef5be73e1d722	7d1fb2f3edd718ef	Is nuclear power a reasonable energy source?	contra	Appeal to Emotion	-	2	No, because it has the power to literally wipe out an entire country. That is just too emotionally distressful for people to bear. We woud never be able to rebuild.
36	917b3542d4a4e71c	97cfac2ddca81af3	Do celebrities get away with more crime than non-celebrities?	pro	Hasty Generalization	-	1	do the best for best one who really need it ..............................must see what happpen
37	a43928e5957a4e57	cb84b6d34f0b3ea3		contra	No Fallacy	-	0	We as the country cannot afford that.
38	aa8f343a5fa783c7	58acb7acccce58ff	Has anyone been on the moon?	contra	No Fallacy	-	1	The Apollo missions were all faked. No one has ever been on the moon.
39	02da2734ab7087e7	e909c816360b1b1f	Should the fight versus the Islamic State include military operations?	pro	No Fallacy	-	2	Yes, the Islamic state is becoming too big to fight without military operations.
40	bffc2c2de1856634	cc1eee636691c425	Is the oppression of women by men a serious problem?	contra	No Fallacy	No Fallacy	8	They should have the same rights, but it is fact, that they have not. Look at India, women are raped there on a daily basis.
41	8b9e12fe5c911c79	1ccbbde6ecf8eb57	Is the legality of assisted suicide desirable?	pro	Irrelevant Authority	Ad Hominem	3	will you help me?
42	426e43308d257958	cc1eee636691c425	Is global warming really an issue?	pro	Appeal to Emotion	Appeal to Emotion	7	Yes, all the polar-bears are dying, and we are next.
43	f6d2d9e6141cf9c4	3f4339e14df7d077	Should we allow animal testing for medical purposes?	pro	Red Herring	Red Herring	6	I am a hunter. Animals need to die in order to keep balance in the forest.
44	fbc7a399aaa14392	5a95f2363e6767a8	Should the fight versus the Islamic State include military operations?	contra	Ad Hominem	Ad Hominem	15	Yeah, and you are a guy who loves war,  thats it. You like it when people die.
45	7198a3665842b10c	e11a3962d5de1cde	Are single sex schools more effective than co-ed schools?	contra	Red Herring	-	1	Young boys don't need get more distracted than they already are these days. Schools have to find better ways to discipline their kids.
46	a2d662d83bdef67f	e909c816360b1b1f	Is Turkey ready to join the European Union?	contra	Irrelevant Authority	-	1	No there is too much violence between anti-government protesters and police
47	87e3492e73bcb0a0	687bc594b0004f41	Is Apple the new Microsoft?	pro	Red Herring	-	1	It's revenue and stock price is increasing like anything!
48	e4c9730c8a64f925	9e373652b43ae58a	Do social networking sites have a positive impact on society?	contra	Appeal to Emotion	-	1	yes they allow us to connect
49	326c9b2f4901b203	cc1eee636691c425	Should cellphones be used during class?	contra	Red Herring	Red Herring	7	Children should learn in classroom. Our land needs more well educated people.
50	c398200a9ed64093	421290114f281425	Do celebrities get away with more crime than non-celebrities?	pro	No Fallacy	-	1	But if you read some investigative journalists, you'll find out the truth...
51	9a6ddb6109bef281	7344aaab59e597a1	Do school uniforms make school a more effective place to learn?	contra	No Fallacy	-	0	I don't think school uniforms can influence the pupils' performance.
52	81358042dc065214	5a95f2363e6767a8	Will flying cars ever become a reality?	pro	No Fallacy	-	1	Yes, if the scientifical progress stays the same as the last 200 years.
53	96dfcaa9076a3d0a	5a95f2363e6767a8	Should the title of a univsersity-doctor be shown on the identification-card?	contra	Appeal to Emotion	Appeal to Emotion	7	No, because all people are the same. You are not worth more than me, just because you are a doctor.
54	b9e4be2a0f72bf90	7ba31a64fee9d641	Is it beneficial for the development of young children to study together with people with mental handicaps?	contra	Ad Hominem	Ad Hominem	4	The handicaps will hinder the education of the normal kids
55	4212297b95c0b602	1ccbbde6ecf8eb57	Is tupac the most influential rapper in history?	contra	Ad Hominem	No Fallacy	4	eminem was like MLK for white people in the rap community...
56	34d2bda923e3c96c	97983948f3837b76	Do social networking sites have a positive impact on society?	contra	Appeal to Emotion	-	1	My friend went to a social networking site and was abducted by another person from there. They are scary and are bad for society.
57	4273ade09089a70d	5c858dff57ca2df5	Is it justified to develop nuclear energy for commercial use?	contra	Ad Hominem	Ad Hominem	3	I guess you don't care about the environment or our future descendants then?
58	bfc178e9e9564b23	31fd02d415efcef3	Has anyone been on the moon?	pro	No Fallacy	-	0	Yes the man has been on the moon.
59	50ed3d5d061c9d91	cc1eee636691c425	Did Titanic really deserve 11 oscars at once?	pro	Appeal to Emotion	Appeal to Emotion	9	I cried so hard when i watched titanic, obviously it deserves these oscars.
60	d586f2733eb01293	687bc594b0004f41	Is there a good reason for the American war on terror?	pro	Red Herring	-	1	Obviously, terrorism is a major issue which we are facing
61	1e955b0bc5dc8d74	5b8c54821db79c51	Should countries disallow people coming from Ebola infected countries to enter?	pro	Appeal to Emotion	-	0	Yes,,you certainly don't want your children to die from this virus.
62	5ed92d0732ff4474	02146510645f6222	Is the grading system used in high school effective?	contra	Ad Hominem	-	0	I guess the author of the question did go to a school with standard grading system. Asking such a stupid question is just a great example of inefficiency of the grading system...
63	545ae84f2a2a1d0b	7ba31a64fee9d641	Did media ignore crimes from refugees?	pro	Ad Hominem	Ad Hominem	4	Refugees are all criminals and you know it
64	69e5cfc0ccdcacc5	609092249d4d1fee	Should jobs be subcontracted into developing countries?	contra	Red Herring	Red Herring	3	I heard that developing countries are all dictatorships.
65	8809016abd5e5d0b	b81e59ef2d72664d	Should we all home school our kids?	contra	No Fallacy	-	1	Children should go to regular schools.
66	179381467731510b	a8b6933302099f54	Is the Deutsche Post-strike justified?	pro	Red Herring	Red Herring	6	Striking is an important tool of freedom.
67	7239e401add6e573	c6d9e226f0f41a85	Is it effective to censor parts of the media?	pro	Red Herring	-	1	The media is always censoring things, but hey, you know it's a good thing right.
68	3a7741c631a7b891	1c6c9e5e492c3075	Do we need a global environment task force?	pro	Appeal to Emotion	-	2	Global warming is a real think that will affect your children and grandchildren.  We need a task force to tackle this huge problem before it is too late and we leave no future for our children and grandchildren.
69	76a819f889bd2777	d038663d70f77d9b	Should jobs be subcontracted into developing countries?	pro	No Fallacy	No Fallacy	8	I own a computer-factory. And im outsourcing my support-callcenter to india. I dont want those people to work like animals. I pay less money than in germany, yes, but it is still a lot of money for the workers there.
70	99c288ce5545d993	0ec473be6979b78f	Is plastic surgery an important field of medicine?	pro	Hasty Generalization	-	1	I knew this one guy who had plastic surgery to reconstruct his ear after an accident, and it was a huge success. It was good for him, so it is an important field of medicine.
71	d44e0c0caa1ab1eb	3f4339e14df7d077	Is there a good reason for the American war on terror?	pro	Appeal to Emotion	Appeal to Emotion	17	Yes, look at the Internet-Videos of the Islamic State. They decapitate people, they separate young women from their families and make them slaves. It is so sad, i cried when i watched these Videos.
72	edf3898b6c4e0418	cc1eee636691c425	Should gorillas be held in zoos	pro	Irrelevant Authority	Irrelevant Authority	5	They are not suffering. I got a dog, i know what i am talking about.
73	977cd835a15f96f8	5a95f2363e6767a8	Is television an effective tool in building the minds of children?	pro	Red Herring	Red Herring	8	Television is great if you are bored. you can just sit there and watch.
74	569d9598060bd054	6d22d5499769d9d4	Is Microsoft the new Apple?	pro	Irrelevant Authority	No Fallacy	4	No. Microsoft is much better than apple
75	55a517908b6880a9	8d9d122348e553ae	Is nuclear power a reasonable energy source?	pro	Red Herring	No Fallacy	4	As long as it's used in a responsible way nuclear power is a great energy source.
76	223260599a522d96	ff16d5d8026ce483	Will flying cars ever become a reality?	pro	Ad Hominem	-	1	of course it all starts with a dream and a few dollars.
77	a34f3b61ce05524b	7acd693f69c0aeb5	Will flying cars ever become a reality?	pro	No Fallacy	No Fallacy	5	Of course, with unlimited amount of time everything is possible. We came from fire to rockets in just some thousand years.
78	c82b03be39147323	d038663d70f77d9b	Is it beneficial for the development of young children to study together with people with mental handicaps?	contra	Appeal to Emotion	Appeal to Emotion	9	My little treasure shall get the best education opportunities. And excuse me but studies with challenged childs is not the best choice.
79	b30bcf560f0f8862	5a95f2363e6767a8	Is television an effective tool in building the minds of children?	contra	Red Herring	Red Herring	7	Television is a waste of time.
80	3b63f2ecf610d548	cc1eee636691c425	Should smoking at home be illegal?	pro	Appeal to Emotion	Appeal to Emotion	14	Home is the place of love and peace. how can you fog it with smoke?
81	2bb0eebe4616c881	4c1499090d87d9f2	Is there a good reason for the American war on terror?	pro	Hasty Generalization	-	2	Yes, because we were attacked, and if we don't go to war we will be attacked again.
82	4bf74d3a689b1047	a4f93c2c8cc92a8c	Is the legality of abortion desirable?	contra	Appeal to Emotion	-	1	If you abort your child, you miss a smiling face, whenever you could cuddle him/her. DONT legalize it for more little happy faces
83	c548b55b7a11a0a9	746e8956e70d2e67	Is it justified to develop nuclear energy for commercial use?	contra	Hasty Generalization	-	1	Just becuase someone is using it doesn't make it ok!
84	8498dcb441b6d578	9c052ae39096e935	Is Neuer the best goalkeeper of the Soccer World Cup 2014?	pro	No Fallacy	-	0	Yes, because he's blocked more shots than any other keeper.
85	109a0b33304f3ee1	cc1eee636691c425	Do we need a global environment task force?	pro	Hasty Generalization	-	1	There do exist local environment task forces. They all do a good job. Therefore a global environment task force has to be good as well.
86	3342b71a7e4645a5	0c001941629d3b98	Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	pro	Irrelevant Authority	No Fallacy	9	Christiano Ronaldo deserves the the title as world's greatest soccer player because all the experts say so.
87	2df4b6796b578c08	3f4339e14df7d077	Are Quentin Tarantinos movies too violent?	pro	Hasty Generalization	Hasty Generalization	6	I watched Reservoir Dogs. The movie was too violent for me. Im sure his movies are all too violent.
88	e15ac2313d395986	f725bd6af5949b46	Is plastic surgery an important field of medicine?	pro	Hasty Generalization	Hasty Generalization	3	Some people need plastic surgery after horrific accidents. Therefore, all forms of plastic surgery are good and plastic surgery is an important field of medicine.
89	b09bbaf680f8fc5e	7d1fb2f3edd718ef	Is drug testing athletes justified?	pro	Red Herring	-	2	It is justified, however, domestic violence in the athletic industry is on the rise, as well as cheating and dishonesty in most athlete's marriages.
90	b19aa6f0c40bc20c	cb84b6d34f0b3ea3	Heavy Metal is the best music ever!	contra	No Fallacy	-	0	I don't like Heavy Metal generally
91	2ea9fecdd8fd93bb	6be962827ff231f5	Should jobs be subcontracted into developing countries?	pro	Hasty Generalization	No Fallacy	5	Research has shown that subcontracting jobs in other countries can really benefit major companies and even startups. This would be advantageous for not only business owners but all citizens contributing to American economy.
92	74c13529483c7b18	5b8c54821db79c51	Is it beneficial for the development of young children to study together with people with mental handicaps?	pro	Hasty Generalization	-	1	Yes, a neighbor of mine who goes to school has such a kid in his class, and this taught him to get along with handicapped people.
93	1684f8663e0c9a38	cc1eee636691c425	Is drug testing athletes justified?	contra	Red Herring	Appeal to Emotion	3	No, they are athletes, they give the best they can.
94	8e343d1a95d09c90	c7e8f969fb2abbbe	Are single sex schools more effective than co-ed schools?	contra	No Fallacy	-	1	It could be hard for students to assimilate into "mixed gender" society.
95	49a5d49175a26634	86f22901b28c445d	Should we all home school our kids?	contra	Ad Hominem	-	2	You are closed minded you need to get a life.
96	7b3ded3b6d1c476b	90bd9f18690c9844	Do we need a global environment task force?	contra	Appeal to Emotion	-	0	If we regulate and centralise everything, we give up the freedom that brought us here. Only if we are free to explore different ways, we can find the best.
97	e01149d239f80282	9c052ae39096e935	Should Germany deport criminal refugees?	pro	Red Herring	-	0	Yes, Germany is such a great nation
98	4a3cff3c332c6c6f	58acb7acccce58ff	Should marijuana be legalized for individual use due to health condition?	pro	No Fallacy	-	0	I'm definitely against legalization.
99	705282fcb031b39f	cc1eee636691c425	Should computers be allowed in class rooms?	contra	Red Herring	Red Herring	4	Who can fully understand these computers? When i was a young boy, we sat next to each other and talked. Times have changed.
100	91e9c190383fa642	db486bc84d9ab4f4	Do we need a global environment task force?	pro	Appeal to Emotion	-	0	Think of the poor animals who have lost their natural homes and have to live in zoos!
101	a876ec00f9189d3e	609092249d4d1fee	Is the oppression of women by men a serious problem?	contra	Irrelevant Authority	-	1	No, it's not. My husband doesn't oppress me, after all.
102	c11a450c06a205b8	b1c61b3ffc30b590	Is it justified to develop nuclear energy for commercial use?	contra	Appeal to Emotion	Appeal to Emotion	6	IT IS HORRIBLE TO USE NUCLEAR ENERGY.
103	1fbb1c93bb0e659a	cc1eee636691c425	Should smoking at home be illegal?	contra	No Fallacy	No Fallacy	11	As long as they take the precautions and responsibilities, it is the householders who should decide together whether to smoke inside  or not.
104	4b3fc68da38ba31b	86f22901b28c445d	Should we all home school our kids?	contra	No Fallacy	-	2	We might not want to home school all children because it is important for them to learn how to interact with others.
105	a8df013c9b6da070	70cae4f89a1de683	Are humans to blame for certain animal extinctions?	pro	Red Herring	-	1	But humans will suffer as major disasters will result as a part of nutural destruction(PRO)
106	4e3fca9a3d5df18d	97cfac2ddca81af3	Do celebrities get away with more crime than non-celebrities?	pro	Hasty Generalization	-	1	do the best for best one who really need it
107	f4598b8c950c47de	d038663d70f77d9b	Is it beneficial for the development of young children to study together with people with mental handicaps?	contra	No Fallacy	No Fallacy	7	I do not think so because there is always the danger that the normal childs bully the handicaped one because of their mental weakness.
108	986f43d2522a8ef8	bd7260e6b5661e89	Should gorillas be held in zoos	pro	Appeal to Emotion	Appeal to Emotion	5	It would cause great pain and suffering to any humans that would see another human being hurt by a Gorilla.
109	e6823426fd85c995	30076a9eecac4abe	Should marijuana be legalized for individual use due to health condition?	contra	Red Herring	-	0	Those hippies... Better get a job!!
110	b361caf5ce57df8a	74ab9166796523f1	Is Apple the new Microsoft?	pro	No Fallacy	-	1	Apple is definitely the new Microsoft. Apple is in almost every home in America in some fashion just like Microsoft is in every home as well. Apple actually has overtaken Microsoft in terms of market share.
111	501fcb33093079d5	3f4339e14df7d077	Is Turkey ready to join the European Union?	pro	Hasty Generalization	Hasty Generalization	7	Turkey helped us with the Refugees. They were beneficial for the EU there, they will be beneficial for the EU in general.
112	f1f05af2ddbab18e	9ec1b606f1d272dc	Should we all home school our kids?	pro	No Fallacy	-	0	We should homeschool our kids.
113	5ce8b37556e6dde0	b074a654d0e7916c	Should gorillas be held in zoos	pro	Appeal to Emotion	-	2	preservation of the species is critical especially when of the world governments are allowing the natural habitat to be destroyed. One will note of the previous sentence that it is imperative that we do relocate some members of the species to a different location – such as  a zoo.
114	cd1ef81783726987	58acb7acccce58ff	Are single sex schools more effective than co-ed schools?	contra	No Fallacy	-	0	I regard single sex education as bad.
115	8b9956900adb56d6	d87e1db64a396e0e	Should countries disallow people coming from Ebola infected countries to enter?	pro	Hasty Generalization	Hasty Generalization	8	Yes, these people are all sick.
116	ce4c5d7049e8fd8f	0b106eb17fb9d269	Should the title of a univsersity-doctor be shown on the identification-card?	pro	Irrelevant Authority	-	1	They earned it. so it should be shown.
117	1d9f0edf291b3d6e	38add71365c0529c	Do social networking sites have a positive impact on society?	pro	No Fallacy	-	1	I think the society in general benefits from Social Networks.
118	b5a8c2231be2c860	718ec56b85d89f84	Is democracy the best system available?	pro	Ad Hominem	-	2	You're crazy if you think God is in charge.
119	24c3a480e81c2fea	c9245e9b4cb98c28	Should we allow animal testing for medical purposes?	pro	No Fallacy	-	0	For a first steps in basic research, animal testing for medical reasons is more efficient than human testing.
120	a74342003b1c98d8	9503b1a989cc969f	Should driving under the influence of alcohol be forbidden?	pro	Red Herring	-	0	Drugs can kill you.
121	ed355171327bfb52	737a86a071cc43e3	Do celebrities get away with more crime than non-celebreties?	contra	Hasty Generalization	-	1	Uli Hoeneß went to jail. Therefore celebreties are treated the same way as non-celebrities.
122	1864c28827539fc5	3f4339e14df7d077	Should countries adopt heavier penalties for drug use and drug trafficking?	contra	Hasty Generalization	Hasty Generalization	5	Sorry, but your teacher has no idea. When i was in Frankfurt some weeks ago, i met a drug-addict. He was so nice to me, it wasnt a problem at all. So we dont need heavier penalties.
123	e74cd11ba91bebeb	f87a17baf6cbc3f0	Are humans to blame for certain animal extinctions?	pro	No Fallacy	No Fallacy	3	Yes, human beings have hunted and eaten animals for as long as can be shown and they are partly to blame for certain animal extinctions.
124	f6f2aca9c805d43e	4991124a65f43eb5	Should we all home school our kids?	contra	No Fallacy	No Fallacy	5	Of course it is reasonable for some people to school there children at home but to school all kids at home would be fatal.
125	6cf18a9dfaa72d0e	e909c816360b1b1f	Should the fight versus the Islamic State include military operations?	pro	Red Herring	-	1	Yes but many more will die if other action is not taken
126	505b1b08f18066ca	697124c8b8eb61f5	Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	contra	Irrelevant Authority	Irrelevant Authority	4	But Craig Burley says he isn't good enough.
127	75b5b181267c39f0	6a2e56f3f86d338e	Are Quentin Tarantinos movies too violent?	contra	Ad Hominem	-	1	Oh now, I'm not going to bebate with you... Habe you even read the instructions?!!
128	712953c75e760345	3606346815fd4d49	Should the price for milk be increased?	contra	Red Herring	-	2	If the cows are working so hard, we should probably pamper them on the farm instead.
129	b3aa9f2fd0d478c4	a8b6933302099f54	Should countries disallow people coming from Ebola infected countries to enter?	pro	Hasty Generalization	Hasty Generalization	6	These people are all sick and want to get our money, dont let them in.
130	f47c05a38ac7730b	d038663d70f77d9b	Is it effective to censor parts of the media?	pro	Red Herring	-	0	Yes, you should censor parts of media because of  Facebook, for example, everybody can spread his opinion and nobody is able to check if these comments are right or false.
131	ea04fa20306f7235	3f4339e14df7d077	Is there a good reason for the American war on terror?	pro	No Fallacy	No Fallacy	7	It would be a crime to look away and let the Islamic State continue decapitating people. When you see such a crime on the street you have to call police. When you see such crimes in another country, you have to get active as well. America does what is needed and fights the terror.
132	00c1482353995d3a	3f4339e14df7d077	Should jobs be subcontracted into developing countries?	contra	Hasty Generalization	Hasty Generalization	8	No,  because these  people should not get abused.
133	35328e33c6cd6d90	2fd5166c44c7db56	Should musicians be payed for streaming music? (by Apple)	pro	Appeal to Emotion	-	1	Do you really think that people who delight us with wonderful music should live like the poor?
134	73e26ca4814d1e1e	70b71e41cbf31e2a	Should driving under the influence of alcohol be forbidden?	pro	No Fallacy	-	0	It's irresponsible to drive under the influence of alcohol.
135	dca3e03ed18bc2bc	13d1522b368d2b3a	Do social networking sites have a positive impact on society?	contra	No Fallacy	-	0	The information in social networks is often not reliable.
136	edf9de1ab9d06ccc	3f4339e14df7d077	Is tupac the most influential rapper in history?	pro	Ad Hominem	Ad Hominem	10	You only think about money, right?  You would even sell your mom.
137	6de1056cd908a669	cc1eee636691c425	Is plastic surgery an important field of medicine?	contra	Appeal to Emotion	Appeal to Emotion	13	I am a mother of 3 children and my body is not perfect anymore. But i dont care, because all people are pretty, no matter what their  body looks like.
138	55ce9f913afd6abd	cc1eee636691c425	Should musicians be payed for streaming music? (by Apple)	contra	Hasty Generalization	-	1	All streaming music should be for free. A friend of mine is a musician and he earns a lot from playing concerts.
139	8d51e7ab29ed48b5	615715c8829db802	Does Christiano Ronaldo deserve the title as worlds-greatest soccer-player?	pro	Appeal to Emotion	Appeal to Emotion	9	Yes, because he comes from a poor background and it would shatter him if he did not win the title!
140	9a7a08096f89ceef	d038663d70f77d9b	Should the title of a univsersity-doctor be shown on the identification-card?	pro	Red Herring	-	2	Doctors are great, they cured my mom from her depression.
141	73f8bedc1f126141	cc1eee636691c425	Is television an effective tool in building the minds of children?	contra	Red Herring	Red Herring	3	Public broadcasters dont show good movies/series. Yesterday they showed a series about two women switching families, who wants to see something like that?
142	0d32cc2c73afa9a4	08584a18308caa3b	Is it effective to censor parts of the media?	contra	Appeal to Emotion	Appeal to Emotion	4	If you censor parts of the media little children will starve because a dictator will rise and confiscate all money.
143	df1938cf64df4f7e	82e9abd938ad0edd	Is nuclear power a reasonable energy source?	contra	Ad Hominem	-	1	Your grandma is dumb
144	abb75a52f2ff515a	4c1499090d87d9f2	Should Christians accept same sex marriage?	pro	Red Herring	-	1	Yes, they should, because the courts have made a decision, and need to move on to other things.
145	ca4b94409fdb1ae5	cc1eee636691c425	Is Neuer the best goalkeeper of the Soccer World Cup 2014?	contra	Red Herring	-	2	I think that one of the best soccer-players is christiano ronaldo. He scored a lot of goals and supported many goals of others.
146	a2c02329891959f6	5a95f2363e6767a8	Is it justified to develop nuclear energy for commercial use?	pro	No Fallacy	No Fallacy	9	It is ok to use it. Temelin exploded, but this does not mean,  that every reactor will explode. So why not,  it is cheap energy.
147	ddf6bec9a06b2901	d038663d70f77d9b	Is democracy the best system available?	pro	Ad Hominem	Ad Hominem	8	Yes, because you would be a miserable dictator.
148	7d588be21bf9d070	60f58da0e0dd8f25	Do we need a global environment task force?	contra	Irrelevant Authority	-	0	No. My best friend, who is an ecologist, says that all these "global warming" and "melting ice glaciers" stories are fictive. A global task force would be used for anything but protecting environment.
149	3542923104c4f60e	0b106eb17fb9d269	Should the title of a univsersity-doctor be shown on the identification-card?	pro	No Fallacy	-	1	This is just one case, does not count for everyone.
150	865e626b54d47042	3606346815fd4d49	Heavy Metal is the best music ever!	contra	Red Herring	-	1	I think that Spotify is really having a negative impact on the music industry.
151	f355a655caaaee1c	bd7260e6b5661e89	Should smoking at home be illegal?	contra	No Fallacy	No Fallacy	4	People are killing themselves doing it and raising the costs of all of healthcare because of it.
152	6b0d01e0876e569e	5a95f2363e6767a8	Should cellphones be used during class?	contra	Hasty Generalization	Red Herring	6	No, my son is already playing computer games all day long.  Not in classroom!!!!!
153	618a916296e5d268	cc1eee636691c425	Should driving under the influence of alcohol be forbidden?	contra	Red Herring	Red Herring	8	If you allow people to drive under the influence of all kinds of drugs, you will soon have a mess on the streets.
154	693165e05856feb4	615715c8829db802	Has anyone been on the moon?	pro	Appeal to Emotion	Appeal to Emotion	5	Of course! It would be so sad if all has been a lie.
155	3d5fa013c8b7ae2c	4991124a65f43eb5	Should marijuana be legalized for individual use due to health condition?	contra	No Fallacy	No Fallacy	3	It shouldn't be legalized.
156	559f807866ef5f2d	7d1fb2f3edd718ef	Is Christianity a peaceful religion?	pro	No Fallacy	-	2	Yes.  Philippians 4:7 says that "God will give us peace that surpasses all understanding."
